date_time,ambulance_dispatches,patient_count,dispatch_time,response_time
2025-01-01 00:00:00,3,3,37.03,471.42
2025-01-01 00:30:00,4,4,47.13,437.68
2025-01-01 01:00:00,3,3,39.62,357.67
2025-01-01 01:30:00,2,2,38.26,390.05
2025-01-01 02:00:00,2,2,38.39,475.54
2025-01-01 02:30:00,4,4,39.63,462.43
2025-01-01 03:00:00,2,2,43.29,448.82
2025-01-01 03:30:00,4,4,44.8,426.48
2025-01-01 04:00:00,3,3,40.98,544.48
2025-01-01 04:30:00,4,4,36.89,494.85
2025-01-01 05:00:00,5,5,43.97,369.14
2025-01-01 05:30:00,4,4,53.62,435.43
2025-01-01 06:00:00,4,4,46.12,382.49
2025-01-01 06:30:00,5,5,45.74,481.64
2025-01-01 07:00:00,6,7,40.76,431.6
2025-01-01 07:30:00,3,3,43.95,493.99
2025-01-01 08:00:00,5,5,47.53,450.5
2025-01-01 08:30:00,2,2,46.0,399.79
2025-01-01 09:00:00,6,6,51.21,416.47
2025-01-01 09:30:00,7,7,50.93,510.01
2025-01-01 10:00:00,3,3,49.39,489.93
2025-01-01 10:30:00,5,5,38.72,522.75
2025-01-01 11:00:00,3,3,50.11,502.19
2025-01-01 11:30:00,7,7,47.83,438.78
2025-01-01 12:00:00,9,9,52.38,457.52
2025-01-01 12:30:00,5,6,52.06,464.5
2025-01-01 13:00:00,6,7,48.68,457.23
2025-01-01 13:30:00,4,4,42.21,368.81
2025-01-01 14:00:00,7,8,44.14,531.43
2025-01-01 14:30:00,6,7,49.7,490.41
2025-01-01 15:00:00,4,4,45.49,483.95
2025-01-01 15:30:00,3,3,44.16,430.44
2025-01-01 16:00:00,8,9,43.69,438.53
2025-01-01 16:30:00,6,6,44.24,457.1
2025-01-01 17:00:00,8,8,51.23,371.96
2025-01-01 17:30:00,5,5,43.08,441.28
2025-01-01 18:00:00,6,6,43.7,409.41
2025-01-01 18:30:00,6,6,39.3,392.67
2025-01-01 19:00:00,4,4,45.1,542.11
2025-01-01 19:30:00,3,3,50.13,517.16
2025-01-01 20:00:00,2,2,38.7,394.19
2025-01-01 20:30:00,2,2,47.45,450.44
2025-01-01 21:00:00,5,5,44.81,276.26
2025-01-01 21:30:00,4,5,44.69,430.71
2025-01-01 22:00:00,2,2,52.56,478.46
2025-01-01 22:30:00,4,4,45.21,405.3
2025-01-01 23:00:00,4,4,42.68,447.69
2025-01-01 23:30:00,1,1,44.79,421.7
2025-01-02 00:00:00,1,1,39.14,421.19
2025-01-02 00:30:00,1,1,47.03,421.38
2025-01-02 01:00:00,1,1,39.81,309.9
2025-01-02 01:30:00,1,1,42.0,404.64
2025-01-02 02:00:00,1,1,43.34,505.9
2025-01-02 02:30:00,1,1,35.81,329.36
2025-01-02 03:00:00,1,1,40.0,434.75
2025-01-02 03:30:00,1,1,39.25,447.57
2025-01-02 04:00:00,1,1,47.37,293.14
2025-01-02 04:30:00,1,1,40.49,458.35
2025-01-02 05:00:00,1,1,44.92,434.09
2025-01-02 05:30:00,1,1,45.06,401.3
2025-01-02 06:00:00,1,1,38.11,421.64
2025-01-02 06:30:00,1,1,40.07,423.34
2025-01-02 07:00:00,3,3,40.26,414.43
2025-01-02 07:30:00,2,2,41.41,346.09
2025-01-02 08:00:00,5,5,47.48,542.03
2025-01-02 08:30:00,3,3,44.58,420.07
2025-01-02 09:00:00,4,4,49.75,424.14
2025-01-02 09:30:00,4,4,35.17,342.77
2025-01-02 10:00:00,3,3,42.58,492.03
2025-01-02 10:30:00,4,4,44.11,459.93
2025-01-02 11:00:00,4,4,46.96,495.59
2025-01-02 11:30:00,3,3,42.07,398.93
2025-01-02 12:00:00,3,3,53.16,334.82
2025-01-02 12:30:00,4,4,42.9,403.36
2025-01-02 13:00:00,2,2,41.48,478.52
2025-01-02 13:30:00,2,2,44.53,401.78
2025-01-02 14:00:00,4,4,47.1,450.16
