date_time,er_visits,critical_cases,available_beds
2025-02-01 00:00:00,16,8,8
2025-02-01 00:30:00,25,6,6
2025-02-01 01:00:00,12,1,1
2025-02-01 01:30:00,19,8,12
2025-02-01 02:00:00,32,7,9
2025-02-01 02:30:00,21,1,2
2025-02-01 03:00:00,10,2,10
2025-02-01 03:30:00,20,1,17
2025-02-01 04:00:00,16,7,15
2025-02-01 04:30:00,12,1,2
2025-02-01 05:00:00,29,3,20
2025-02-01 05:30:00,13,2,19
2025-02-01 06:00:00,30,0,16
2025-02-01 06:30:00,19,3,0
2025-02-01 07:00:00,27,3,1
2025-02-01 07:30:00,12,1,16
2025-02-01 08:00:00,6,2,2
2025-02-01 08:30:00,16,4,5
2025-02-01 09:00:00,32,8,18
2025-02-01 09:30:00,7,1,7
2025-02-01 10:00:00,6,2,18
2025-02-01 10:30:00,26,0,9
2025-02-01 11:00:00,17,7,1
2025-02-01 11:30:00,22,3,5
2025-02-01 12:00:00,23,4,18
2025-02-01 12:30:00,14,2,14
2025-02-01 13:00:00,29,4,13
2025-02-01 13:30:00,16,7,18
2025-02-01 14:00:00,12,1,11
2025-02-01 14:30:00,19,3,7
2025-02-01 15:00:00,33,6,10
2025-02-01 15:30:00,17,8,19
2025-02-01 16:00:00,30,6,11
2025-02-01 16:30:00,10,4,0
2025-02-01 17:00:00,22,6,18
2025-02-01 17:30:00,27,2,1
2025-02-01 18:00:00,19,0,17
2025-02-01 18:30:00,23,5,9
2025-02-01 19:00:00,27,8,11
2025-02-01 19:30:00,30,2,4
2025-02-01 20:00:00,22,4,15
2025-02-01 20:30:00,9,3,13
2025-02-01 21:00:00,5,0,7
2025-02-01 21:30:00,11,4,15
2025-02-01 22:00:00,8,4,4
2025-02-01 22:30:00,27,4,16
2025-02-01 23:00:00,17,3,20
2025-02-01 23:30:00,10,5,11
2025-02-02 00:00:00,33,7,13
2025-02-02 00:30:00,8,2,0
2025-02-02 01:00:00,5,0,4
2025-02-02 01:30:00,25,4,6
2025-02-02 02:00:00,26,5,5
2025-02-02 02:30:00,17,4,6
2025-02-02 03:00:00,28,0,17
2025-02-02 03:30:00,12,5,2
2025-02-02 04:00:00,19,1,17
2025-02-02 04:30:00,31,0,3
2025-02-02 05:00:00,32,7,1
2025-02-02 05:30:00,9,1,12
2025-02-02 06:00:00,32,5,15
2025-02-02 06:30:00,29,7,17
2025-02-02 07:00:00,21,6,2
2025-02-02 07:30:00,30,6,6
2025-02-02 08:00:00,30,2,13
2025-02-02 08:30:00,9,3,18
2025-02-02 09:00:00,30,5,14
2025-02-02 09:30:00,11,4,1
2025-02-02 10:00:00,14,5,7
2025-02-02 10:30:00,15,5,7
2025-02-02 11:00:00,30,8,1
2025-02-02 11:30:00,11,5,12
2025-02-02 12:00:00,33,8,4
2025-02-02 12:30:00,5,0,9
2025-02-02 13:00:00,10,2,20
2025-02-02 13:30:00,16,7,0
2025-02-02 14:00:00,10,1,4
2025-02-02 14:30:00,10,3,9
2025-02-02 15:00:00,18,0,16
2025-02-02 15:30:00,5,0,2
2025-02-02 16:00:00,22,2,1
2025-02-02 16:30:00,12,5,4
2025-02-02 17:00:00,27,6,5
2025-02-02 17:30:00,5,0,13
2025-02-02 18:00:00,17,4,14
2025-02-02 18:30:00,7,0,14
2025-02-02 19:00:00,31,1,3
2025-02-02 19:30:00,6,2,3
2025-02-02 20:00:00,35,6,19
2025-02-02 20:30:00,11,2,12
2025-02-02 21:00:00,31,3,4
2025-02-02 21:30:00,24,3,8
2025-02-02 22:00:00,8,0,6
2025-02-02 22:30:00,9,4,4
2025-02-02 23:00:00,7,1,11
2025-02-02 23:30:00,7,0,10
2025-02-03 00:00:00,20,3,16
2025-02-03 00:30:00,28,6,18
2025-02-03 01:00:00,5,1,5
2025-02-03 01:30:00,33,5,4
