Festival name,Date,State/UT,District,Temperature (°C),Condition,Humidity (%),Wind Speed (km/h),Last Updated
New Year's Day,2025-01-01,Meghalaya,East Garo Hills,23.6,Light rain shower,92,3.6,2025-01-24 01:45:00
New Year's Day,2025-01-01,Arunachal Pradesh,West Kameng,24.4,Clear,37,7.9,2025-01-24 00:30:00
New Year's Day,2025-01-01,Arunachal Pradesh,East Kameng,24.4,Clear,37,7.9,2025-01-24 00:30:00
New Year's Day,2025-01-01,Mizoram,Hnahthial,9.0,Clear,34,6.5,2025-01-24 00:00:00
New Year's Day,2025-01-01,West Bengal,Dakshin Dinajpur,17.7,Clear,49,6.8,2025-01-23 23:45:00
New Year's Day,2025-01-01,Tripura,Khowai,14.3,Clear,64,3.6,2025-01-23 23:30:00
New Year's Day,2025-01-01,Assam,Chirang,15.2,Patchy rain nearby,85,3.6,2025-01-23 23:30:00
New Year's Day,2025-01-01,Telangana,Jangaon,23.4,Mist,73,11.2,2025-01-23 23:15:00
New Year's Day,2025-01-01,Tamil Nadu,Coimbatore,24.4,Mist,69,8.6,2025-01-23 23:15:00
New Year's Day,2025-01-01,Tamil Nadu,Chennai,25.2,Mist,79,12.6,2025-01-23 23:15:00
New Year's Day,2025-01-01,Tamil Nadu,Ariyalur,24.3,Mist,89,10.1,2025-01-23 23:15:00
New Year's Day,2025-01-01,Tamil Nadu,Chengalpattu,25.2,Mist,79,6.8,2025-01-23 23:15:00
New Year's Day,2025-01-01,Tamil Nadu,Dharmapuri,18.7,Clear,83,7.2,2025-01-23 23:15:00
New Year's Day,2025-01-01,Sikkim,West Sikkim,7.1,Clear,84,3.6,2025-01-23 23:15:00
New Year's Day,2025-01-01,Sikkim,South Sikkim,7.1,Clear,84,3.6,2025-01-23 23:15:00
New Year's Day,2025-01-01,Sikkim,North Sikkim,7.1,Clear,84,3.6,2025-01-23 23:15:00
New Year's Day,2025-01-01,Tamil Nadu,Cuddalore,24.3,Partly Cloudy,74,15.1,2025-01-23 23:15:00
New Year's Day,2025-01-01,Tamil Nadu,Kanchipuram,25.2,Mist,79,7.6,2025-01-23 23:15:00
New Year's Day,2025-01-01,Tamil Nadu,Dindigul,24.2,Mist,89,5.8,2025-01-23 23:15:00
New Year's Day,2025-01-01,Tamil Nadu,Erode,22.4,Clear,75,11.5,2025-01-23 23:15:00
New Year's Day,2025-01-01,Rajasthan,Churu,17.1,Clear,32,12.2,2025-01-23 23:15:00
New Year's Day,2025-01-01,Telangana,Adilabad,22.0,Clear,33,4.7,2025-01-23 23:15:00
New Year's Day,2025-01-01,Manipur,Bishnupur,19.0,Mist,88,5.4,2025-01-23 23:15:00
New Year's Day,2025-01-01,Telangana,Jagtial,21.6,Clear,43,9.0,2025-01-23 23:15:00
New Year's Day,2025-01-01,Telangana,Jogulamba Gadwal,22.5,Clear,58,12.6,2025-01-23 23:15:00
New Year's Day,2025-01-01,Telangana,Karimnagar,21.6,Clear,46,7.2,2025-01-23 23:15:00
New Year's Day,2025-01-01,Telangana,Khammam,19.0,Clear,85,10.8,2025-01-23 23:15:00
New Year's Day,2025-01-01,Telangana,Komaram Bheem Asifabad,22.2,Clear,33,6.5,2025-01-23 23:15:00
New Year's Day,2025-01-01,Tripura,Dhalai,13.2,Clear,69,3.6,2025-01-23 23:15:00
New Year's Day,2025-01-01,Sikkim,East Sikkim,7.1,Clear,84,3.6,2025-01-23 23:15:00
New Year's Day,2025-01-01,Rajasthan,Barmer,15.9,Clear,29,15.8,2025-01-23 23:15:00
New Year's Day,2025-01-01,Rajasthan,Bundi,15.2,Clear,35,10.4,2025-01-23 23:15:00
